epoch:0, loss:54719.87109375,  time_consuming:1.67s
epoch:0, loss:53528.53125,  time_consuming:1.77s
epoch:0, loss:52350.21484375,  time_consuming:2.00s
epoch:0, loss:51186.43359375,  time_consuming:1.40s
epoch:0, loss:50036.79296875,  time_consuming:1.54s
epoch:0, loss:48899.5,  time_consuming:1.49s
epoch:0, loss:47776.375,  time_consuming:1.39s
epoch:0, loss:46666.9921875,  time_consuming:1.43s
epoch:0, loss:45573.0,  time_consuming:1.50s
epoch:0, loss:44504.79296875,  time_consuming:1.46s
epoch:0, loss:43430.2421875,  time_consuming:1.39s
epoch:0, loss:42367.2421875,  time_consuming:1.51s
epoch:0, loss:41321.015625,  time_consuming:1.50s
epoch:0, loss:40293.3359375,  time_consuming:1.41s
epoch:0, loss:39277.3828125,  time_consuming:1.45s
epoch:0, loss:38273.8984375,  time_consuming:1.51s
epoch:0, loss:37282.3671875,  time_consuming:1.47s
epoch:0, loss:36307.0078125,  time_consuming:1.39s
epoch:0, loss:35342.37109375,  time_consuming:1.43s
epoch:0, loss:34393.1953125,  time_consuming:1.47s
epoch:0, loss:33613.83984375,  time_consuming:1.48s
epoch:0, loss:32551.3046875,  time_consuming:1.42s
epoch:0, loss:31629.693359375,  time_consuming:1.63s
epoch:0, loss:30720.53125,  time_consuming:3.15s
epoch:0, loss:29806.0234375,  time_consuming:1.44s
epoch:0, loss:28924.046875,  time_consuming:1.44s
epoch:0, loss:28058.927734375,  time_consuming:1.46s
epoch:0, loss:27209.39453125,  time_consuming:1.50s
epoch:0, loss:26375.30859375,  time_consuming:1.39s
epoch:0, loss:25555.990234375,  time_consuming:1.44s
epoch:0, loss:24750.88671875,  time_consuming:1.40s
epoch:0, loss:24403.763671875,  time_consuming:1.44s
epoch:0, loss:23198.55078125,  time_consuming:1.42s
epoch:0, loss:22433.427734375,  time_consuming:1.40s
epoch:0, loss:21672.8203125,  time_consuming:1.43s
epoch:0, loss:20942.8359375,  time_consuming:1.42s
epoch:0, loss:20213.27734375,  time_consuming:1.42s
epoch:0, loss:19499.146484375,  time_consuming:1.41s
epoch:0, loss:18804.36328125,  time_consuming:1.42s
epoch:0, loss:18118.2421875,  time_consuming:1.41s
epoch:0, loss:17448.58984375,  time_consuming:1.47s
epoch:0, time:07/21_20:56:47, loss:16839.794921875,  time_consuming:3.21s
epoch:0, time:07/21_20:56:48, loss:16103.921875,  time_consuming:1.55s
epoch:0, time:07/21_20:56:50, loss:15459.501953125,  time_consuming:1.48s
epoch:0, time:07/21_20:56:51, loss:14832.37109375,  time_consuming:1.41s
epoch:0, time:07/21_20:56:52, loss:14221.6591796875,  time_consuming:1.40s
epoch:0, time:07/21_20:56:54, loss:13625.7490234375,  time_consuming:1.45s
epoch:0, time:07/21_20:56:55, loss:13044.271484375,  time_consuming:1.39s
epoch:0, time:07/21_20:56:57, loss:12477.0703125,  time_consuming:1.40s
epoch:0, time:07/21_20:56:58, loss:11923.6865234375,  time_consuming:1.40s
epoch:0, time:07/21_20:57:00, loss:11383.521484375,  time_consuming:1.45s
epoch:0, time:07/21_20:57:01, loss:10857.0419921875,  time_consuming:1.40s
epoch:0, time:07/21_20:57:02, loss:10343.7060546875,  time_consuming:1.39s
epoch:0, time:07/21_20:57:04, loss:9843.2763671875,  time_consuming:1.41s
epoch:0, time:07/21_20:57:05, loss:9526.333984375,  time_consuming:1.42s
epoch:0, time:07/21_20:57:07, loss:8917.412109375,  time_consuming:1.41s
epoch:0, time:07/21_20:57:08, loss:8422.404296875,  time_consuming:1.39s
epoch:0, time:07/21_20:57:09, loss:7972.9482421875,  time_consuming:1.45s
epoch:0, time:07/21_20:57:11, loss:7542.7939453125,  time_consuming:1.43s
epoch:0, time:07/21_20:57:12, loss:7114.7001953125,  time_consuming:1.41s
epoch:0, time:07/21_20:57:14, loss:6706.0048828125,  time_consuming:1.42s
epoch:0, time:07/21_20:57:15, loss:6310.1689453125,  time_consuming:1.45s
epoch:0, time:07/21_20:57:17, loss:5923.66943359375,  time_consuming:1.40s
epoch:0, time:07/21_20:57:18, loss:5552.0029296875,  time_consuming:1.39s
epoch:0, time:07/21_20:57:19, loss:5193.0546875,  time_consuming:1.42s
epoch:0, time:07/21_20:57:21, loss:4846.9775390625,  time_consuming:1.56s
epoch:0, time:07/21_20:57:22, loss:4513.2685546875,  time_consuming:1.41s
epoch:0, time:07/21_20:57:24, loss:4192.6435546875,  time_consuming:1.40s
epoch:0, time:07/21_20:57:25, loss:3884.408935546875,  time_consuming:1.53s
epoch:0, time:07/21_20:57:27, loss:3588.72802734375,  time_consuming:1.50s
epoch:0, time:07/21_20:57:28, loss:3305.544677734375,  time_consuming:1.40s
epoch:0, time:07/21_20:57:30, loss:3035.033935546875,  time_consuming:1.43s
epoch:0, time:07/21_20:57:31, loss:2776.85888671875,  time_consuming:1.56s
epoch:0, time:07/21_20:57:33, loss:2538.90771484375,  time_consuming:1.51s
epoch:0, time:07/21_20:57:34, loss:2310.251708984375,  time_consuming:1.62s
epoch:0, time:07/21_20:57:36, loss:2081.5,  time_consuming:1.54s
epoch:0, time:07/21_20:57:37, loss:1870.422607421875,  time_consuming:1.50s
epoch:0, time:07/21_20:57:39, loss:1689.5516357421875,  time_consuming:1.40s
epoch:0, time:07/21_20:57:40, loss:1485.3299560546875,  time_consuming:1.41s
epoch:0, time:07/21_20:57:42, loss:1320.542236328125,  time_consuming:1.55s
epoch:0, time:07/21_20:57:43, loss:1154.5478515625,  time_consuming:1.50s
epoch:0, time:07/21_20:57:45, loss:1013.870849609375,  time_consuming:1.42s
epoch:0, time:07/21_20:57:46, loss:904.4201049804688,  time_consuming:1.52s
epoch:0, time:07/21_20:57:48, loss:784.6273193359375,  time_consuming:1.59s
epoch:0, time:07/21_20:57:49, loss:872.6734619140625,  time_consuming:1.42s
epoch:0, time:07/21_20:57:51, loss:869.9935302734375,  time_consuming:1.41s
epoch:0, time:07/21_20:57:52, loss:584.58349609375,  time_consuming:1.55s
epoch:0, time:07/21_20:57:54, loss:730.8534545898438,  time_consuming:1.50s
epoch:0, time:07/21_20:57:55, loss:669.714599609375,  time_consuming:1.40s
epoch:0, time:07/21_20:57:56, loss:435.78985595703125,  time_consuming:1.48s
epoch:0, time:07/21_20:57:58, loss:345.16546630859375,  time_consuming:1.50s
epoch:0, time:07/21_20:57:59, loss:368.8754577636719,  time_consuming:1.49s
epoch:0, time:07/21_20:58:01, loss:228.8390350341797,  time_consuming:1.41s
